,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,marital_unknown,education_basic.6y,education_basic.9y,education_high.school,education_illiterate,education_professional.course,education_university.degree,education_unknown,default_unknown,poutcome_nonexistent,poutcome_success
0,0.0,0.0,1,5,1,-0.5459354254394065,-0.5603411381401908,999,-0.4418006408688985,0.8983335764412729,0.8000741148763486,0.7245742953439466,0.9724827762987294,0.6110898042819057,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
1,0.0,1.0,1,5,1,0.21189610754683247,-0.5603411381401908,999,-0.4418006408688985,0.8983335764412729,0.8000741148763486,0.7245742953439466,0.9724827762987294,0.6110898042819057,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2,0.0,1.0,1,5,1,-0.6337635441332738,-0.5603411381401908,999,-0.4418006408688985,0.8983335764412729,0.8000741148763486,0.7245742953439466,0.9724827762987294,0.6110898042819057,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
3,1.0,0.0,1,5,1,-0.3422520728297478,-0.5603411381401908,999,-0.4418006408688985,0.8983335764412729,0.8000741148763486,0.7245742953439466,0.9724827762987294,0.6110898042819057,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
4,1.0,0.0,1,5,1,-0.09112725128355267,-0.5603411381401908,999,-0.4418006408688985,0.8983335764412729,0.8000741148763486,0.7245742953439466,0.9724827762987294,0.6110898042819057,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
5,1.0,0.0,1,5,1,-0.3024991579148302,-0.5603411381401908,999,-0.4418006408688985,0.8983335764412729,0.8000741148763486,0.7245742953439466,0.9724827762987294,0.6110898042819057,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
6,0.0,1.0,1,5,1,0.061427129024849605,-0.5603411381401908,999,-0.4418006408688985,0.8983335764412729,0.8000741148763486,0.7245742953439466,0.9724827762987294,0.6110898042819057,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7,0.0,0.0,1,5,1,0.008850941702658021,-0.5603411381401908,999,-0.4418006408688985,0.8983335764412729,0.8000741148763486,0.7245742953439466,0.9724827762987294,0.6110898042819057,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
8,0.0,0.0,1,5,1,-0.3538911661081295,-0.5603411381401908,999,-0.4418006408688985,0.8983335764412729,0.8000741148763486,0.7245742953439466,0.9724827762987294,0.6110898042819057,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
9,0.0,0.0,1,5,1,0.07319627072912804,-0.15497244962091797,999,-0.4418006408688985,0.8983335764412729,0.8000741148763486,0.7245742953439466,0.9724827762987294,0.6110898042819057,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
10,1.0,0.0,1,5,1,-0.4455426183072371,-0.5603411381401908,999,-0.4418006408688985,0.8983335764412729,0.8000741148763486,0.7245742953439466,0.9724827762987294,0.6110898042819057,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
